"design_condition_id","leg","meanW","covW","mean_estimate","coverage","dMeanW"
"Q7-c2","bayes_a",0.400086342772244,0.985,0.400750626546397,0.97,-0.000664283774153229
"Q7-c2","c_direct",0.40012276385665,0.975,0.400719754543338,0.955,-0.000596990686687948
"Q7-c2","freq_per_pv",0.400073593711271,0.985,0.400749948897794,0.97,-0.00067635518652287
"Q8-c1","bayes_a",0.395565244884241,0.98,0.396137023461286,0.995,-0.000571778577045268
"Q8-c1","c_direct",0.395531408623262,0.96,0.396113355138912,0.98,-0.000581946515649523
"Q8-c1","freq_per_pv",0.395541532310411,0.98,0.396119421898095,0.995,-0.000577889587683844
"SK-c1","bayes_a",0.400349839179889,0.985,0.397409344614857,0.98,0.00294049456503176
"SK-c1","c_direct",0.400381477471137,0.98,0.3974136442846,0.97,0.00296783318653743
"SK-c1","freq_per_pv",0.400336014754714,0.985,0.397404809896965,0.985,0.00293120485774911
"SM-c1","bayes_a",0.401094510232265,0.965,0.398264929500095,0.98,0.00282958073216993
"SM-c1","c_direct",0.401110086308188,0.95,0.398345282044875,0.97,0.00276480426331255
"SM-c1","freq_per_pv",0.401086017052424,0.965,0.398265341634181,0.985,0.00282067541824282
"SM-c2","bayes_a",0.398475632798079,0.985,0.398567728639057,0.96,-9.20958409782457e-05
"SM-c2","c_direct",0.398491185675462,0.97,0.3985741628784,0.945,-8.29772029374842e-05
"SM-c2","freq_per_pv",0.39847541545472,0.985,0.39857142608557,0.96,-9.60106308497966e-05
"T1-c1","bayes_a",0.400044592653239,0.985,0.399922041915836,0.984886649874055,0.000122550737402749
"T1-c1","c_direct",0.400080827770325,0.9725,0.399954500834056,0.9725,0.000126326936269072
"T1-c1","freq_per_pv",0.400041367627766,0.985,0.399874836267251,0.9825,0.00016653136051531
"T1-c6","bayes_a",0.399975151934957,0.98,0.398332400513792,0.97,0.00164275142116549
"T1-c6","c_direct",0.399984398211225,0.96,0.3983330167852,0.97,0.00165138142602506
"T1-c6","freq_per_pv",0.399974775634129,0.98,0.398335250934627,0.97,0.00163952469950235
"T2-c1","bayes_a",0.399840821056575,0.98,0.400532618604481,1,-0.000691797547905992
"T2-c1","c_direct",0.39982044000985,0.98,0.400522951740242,1,-0.000702511730392041
"T2-c1","freq_per_pv",0.399844199088429,0.98,0.400561464838063,1,-0.00071726574963421
"T2-c2","bayes_a",0.4109878971146,0.97,0.402463907766371,0.96,0.00852398934822951
"T2-c2","c_direct",0.410977624452665,0.96,0.402617635592863,0.93,0.0083599888598021
"T2-c2","freq_per_pv",0.41097831049702,0.97,0.402425741211838,0.95,0.00855256928518205
"T2-c3","bayes_a",0.400069323698797,0.96,0.397609765619005,0.99,0.00245955807979242
"T2-c3","c_direct",0.4001960395623,0.94,0.3976134592137,0.99,0.00258258034860015
"T2-c3","freq_per_pv",0.400066100139239,0.96,0.397589509855516,0.99,0.00247659028372255
