"design_condition_id","rep_id","bayes_a_rhat_max","bayes_a_ess_min","bayes_a_div","cdirect_rhat_max","cdirect_neff_ratio_min","cdirect_div","ident_dA_W","ident_dA_B","ident_dC_W","ident_dC_B"
"Q7-c2",1,1.01259586004282,454.851464468111,0,1.00699332053984,0.163187408706405,0,0,0,0,0
"Q7-c2",2,1.02023844442964,312.822871647621,0,1.00832533101645,0.113769686863725,0,0,0,0,0
"Q8-c1",1,1.00738494326075,658.000785340008,0,1.00340026283085,0.166900513275573,0,0,0,0,0
"Q8-c1",2,1.01034564826569,706.619432735203,0,1.00882412953234,0.153578115815882,0,0,0,0,0
"SK-c1",1,1.00515146014208,819.831242241572,0,1.00456246311492,0.18672130002261,0,0,0,0,0
"SK-c1",2,1.00976106290837,929.191645013427,0,1.00424377261592,0.261114448350788,0,0,0,0,0
"SM-c1",1,1.01055432104443,789.446532630712,0,1.00454557071309,0.238284615721561,0,0,0,0,0
"SM-c1",2,1.00626145363994,791.011668770652,0,1.00842409713644,0.204391486616055,0,0,0,0,0
"SM-c2",1,1.01077252610271,695.472882896719,0,1.00570171687911,0.216940708492419,0,0,0,0,0
"SM-c2",2,1.00948022052029,628.559072398862,0,1.00437689458655,0.213247911590434,0,0,0,0,0
"T1-c1",1,1.00820440912681,881.480768102426,0,1.00469470404847,0.22808765054641,0,0,0,0,0
"T1-c1",2,1.00790998839204,566.543426130183,0,1.0047292770171,0.191301242677758,0,0,0,0,0
"T1-c6",1,1.01674278895474,442.383137806273,0,1.01068565747564,0.13895445165458,0,0,0,0,0
"T1-c6",2,1.0134439882662,461.13455347688,0,1.0063306157562,0.171707373383215,0,0,0,0,0
"T2-c1",1,1.01097987677474,640.89235692795,0,1.00674173933971,0.182139381375441,0,0,0,0,0
"T2-c1",2,1.00701402703962,747.927333430882,0,1.00593655425411,0.206819184935626,0,0,0,0,0
"T2-c2",1,1.00649185928654,965.196877228349,0,1.00247351088326,0.261660991570381,0,0,0,0,0
"T2-c2",2,1.00396477881183,1295.87650438431,0,1.00586021754604,0.242987836781348,0,0,0,0,0
"T2-c3",1,1.01345724348919,532.453437208609,0,1.01196985036791,0.156865873434134,0,0,0,0,0
"T2-c3",2,1.01171017742288,470.622419960054,0,1.00773520536419,0.168405230552496,0,0,0,0,0
"T2-c4",1,1.00677296330662,950.317346916702,0,1.00349475504077,0.23297920561118,0,0,0,0,0
"T2-c4",2,1.00705006909249,1157.22735236765,0,1.00955869756415,0.201492538366984,0,0,0,0,0
"T2-c5",1,1.01024329977779,579.266659659844,0,1.00607388017141,0.191613886147264,0,0,0,0,0
"T2-c5",2,1.01029306993342,538.478834569231,0,1.00529947835605,0.200622019949717,0,0,0,0,0
"T2-c6",1,1.00502317010992,1095.13174038359,0,1.00504136582584,0.21996293001754,0,0,0,0,0
"T2-c6",2,1.00519937180439,1447.04955459896,0,1.00426160264889,0.190720694256982,0,0,0,0,0
"T2-c7",1,1.00560444864663,952.193106231983,0,1.00581847869905,0.213743025603332,0,0,0,0,0
"T2-c7",2,1.0067449716224,907.333369401617,0,1.0063038092589,0.239949197168381,0,0,0,0,0
"T3-c1",1,1.00714241924056,865.666469572534,0,1.00519142105429,0.171004197504192,0,0,0,0,0
"T3-c1",2,1.00598305757691,690.827726379236,0,1.0061754302382,0.176299416410357,0,0,0,0,0
"T3-c3",1,1.0086828204269,776.16460839462,0,1.00543311030869,0.204990335703862,0,0,0,0,0
"T3-c3",2,1.00902704032782,748.221320654252,0,1.00544548967379,0.174593258642132,0,0,0,0,0
"T3-c4",1,1.01158907072572,460.875412051131,0,1.0069250618662,0.149461065652306,0,0,0,0,0
"T3-c4",2,1.01530034410323,411.843605990237,0,1.00484451877526,0.147293196513846,0,0,0,0,0
"T4-c1",1,1.01173221227769,503.900083619842,0,1.00396532255045,0.152290284779871,0,0,0,0,0
"T4-c1",2,1.01345576226424,421.901905712127,0,1.00683125776753,0.123627325311533,0,0,0,0,0
"T4-c3",1,1.00571248024977,1205.25034310299,0,1.00537365504995,0.21922274417596,0,0,0,0,0
"T4-c3",2,1.00861107596835,760.032590952022,0,1.00487329665988,0.20920857569501,0,0,0,0,0
"T4-c4",1,1.01173014402891,726.703278182011,0,1.00474782321366,0.24150895813676,0,0,0,0,0
"T4-c4",2,1.01278241796745,697.739153904499,0,1.00651382689846,0.255212713878406,0,0,0,0,0
"T4-c5",1,1.00509616317344,793.892299159897,0,1.0059119780595,0.201124428352296,0,0,0,0,0
"T4-c5",2,1.0062610101049,748.461374032117,0,1.00651588719707,0.186500067117475,0,0,0,0,0
"T4-c6",1,1.01114363470796,671.628364636878,0,1.00463587698232,0.194311496602227,0,0,0,0,0
"T4-c6",2,1.00744200996043,757.95279664025,0,1.00701803132551,0.191213539454487,0,0,0,0,0
"T4-c7",1,1.0094692891783,673.87360032233,0,1.0051057292701,0.221177612624595,0,0,0,0,0
"T4-c7",2,1.01049343792462,650.905112719576,0,1.00539252819805,0.206277760782372,0,0,0,0,0
"T5-c1",1,1.01448036836477,377.86858218233,0,1.0065079368987,0.176702743588576,0,0,0,0,0
"T5-c1",2,1.00863413737376,424.335564621753,0,1.01064633360254,0.126266386813801,0,0,0,0,0
