"design_condition_id","rep_tier","profile","ICC_y","J","nbar","ICC_x","rho_PV","M","leg","R","meanW","biasW","covW","covW_lo","covW_hi","meanB","biasB","covB","covB_lo","covB_hi","mcseW","mcseB"
"Q7-c2","sensitivity","KOR",0.45,100,20,0.3,0.9,10,"oracle",200,0.4,0,1,0.981154673331037,1,0.6,0,1,0.981154673331037,1,0,0
"Q7-c2","sensitivity","KOR",0.45,100,20,0.3,0.9,10,"freq_per_pv",200,0.400073593711271,7.35937112710805e-05,0.985,0.956834270884611,0.994885762246495,0.59661525358388,-0.00338474641611974,0.96,0.923067931425574,0.97959436803898,0.00188263872058179,0.0114583288422701
"Q7-c2","sensitivity","KOR",0.45,100,20,0.3,0.9,10,"c_direct",200,0.40012276385665,0.000122763856650054,0.975,0.942821659248345,0.98927528041614,0.595551808359302,-0.0044481916406981,0.96,0.923067931425574,0.97959436803898,0.0018816508417025,0.0114573179710098
"Q7-c2","sensitivity","KOR",0.45,100,20,0.3,0.9,10,"bayes_a",200,0.400086342772244,8.63427722437304e-05,0.985,0.956834270884611,0.994885762246495,0.596292843305254,-0.00370715669474642,0.965,0.929529388113122,0.982944458084742,0.00188185674034694,0.0114829094965991
"Q8-c1","sensitivity","KOR",0.45,100,10,0.3,0.9,10,"freq_per_pv",200,0.395541532310411,-0.00445846768958885,0.98,0.949712912759955,0.99219557363784,0.595873272660013,-0.00412672733998698,0.955,0.916703295616288,0.976147457114956,0.00303600100670306,0.0114451700450421
"Q8-c1","sensitivity","KOR",0.45,100,10,0.3,0.9,10,"oracle",200,0.4,0,1,0.981154673331037,1,0.6,0,1,0.981154673331037,1,0,0
"Q8-c1","sensitivity","KOR",0.45,100,10,0.3,0.9,10,"bayes_a",200,0.395565244884241,-0.0044347551157593,0.98,0.949712912759955,0.99219557363784,0.596053861789126,-0.00394613821087353,0.96,0.923067931425574,0.97959436803898,0.00303427931831601,0.0114579118465865
"Q8-c1","sensitivity","KOR",0.45,100,10,0.3,0.9,10,"c_direct",200,0.395531408623262,-0.00446859137673755,0.96,0.923067931425574,0.97959436803898,0.595539819457792,-0.00446018054220765,0.955,0.916703295616288,0.976147457114956,0.0030395983169608,0.0114482366009903
"SK-c1","sensitivity","USA",0.2,100,20,0.15,0.85,10,"freq_per_pv",200,0.400336014754714,0.000336014754714065,0.985,0.956834270884611,0.994885762246495,0.609329667092961,0.0093296670929609,0.96,0.923067931425574,0.97959436803898,0.00173294196762865,0.00825006943953981
"SK-c1","sensitivity","USA",0.2,100,20,0.15,0.85,10,"oracle",200,0.4,0,1,0.981154673331037,1,0.6,0,1,0.981154673331037,1,0,0
"SK-c1","sensitivity","USA",0.2,100,20,0.15,0.85,10,"bayes_a",200,0.400349839179889,0.000349839179888733,0.985,0.956834270884611,0.994885762246495,0.609277759216195,0.00927775921619478,0.96,0.923067931425574,0.97959436803898,0.001733777504855,0.00824020062152225
"SK-c1","sensitivity","USA",0.2,100,20,0.15,0.85,10,"c_direct",200,0.400381477471137,0.000381477471137426,0.98,0.949712912759955,0.99219557363784,0.609449949684203,0.00944994968420287,0.955,0.916703295616288,0.976147457114956,0.00173221541246462,0.00826057776492583
"SM-c1","sensitivity","USA",0.2,100,20,0.15,0.9,5,"c_direct",200,0.401110086308188,0.00111008630818754,0.95,0.91042185147139,0.972617354526543,0.589841721702298,-0.0101582782977024,0.95,0.91042185147139,0.972617354526543,0.00196827844581572,0.00981809719540042
"SM-c1","sensitivity","USA",0.2,100,20,0.15,0.9,5,"bayes_a",200,0.401094510232265,0.00109451023226492,0.965,0.929529388113122,0.982944458084742,0.589920657351434,-0.0100793426485659,0.95,0.91042185147139,0.972617354526543,0.00196906317107925,0.00980466148430763
"SM-c1","sensitivity","USA",0.2,100,20,0.15,0.9,5,"oracle",200,0.4,0,1,0.981154673331037,1,0.6,0,1,0.981154673331037,1,0,0
